threshold,n_retained,coverage,accuracy,n_correct
0.9948453904962544,1,0.003484320557491289,1.0,1
0.9936542408717911,2,0.006968641114982578,1.0,2
0.9922087524685235,3,0.010452961672473868,1.0,3
0.9911592106424927,4,0.013937282229965157,1.0,4
0.9892397073833437,5,0.017421602787456445,1.0,5
0.9885213129693528,8,0.027874564459930314,1.0,8
0.9884419552065831,9,0.0313588850174216,1.0,9
0.988421215323336,10,0.03484320557491289,1.0,10
0.986756781628477,11,0.03832752613240418,1.0,11
0.9865110871498883,12,0.041811846689895474,1.0,12
0.9816054320386199,14,0.04878048780487805,1.0,14
0.9804172362321639,15,0.05226480836236934,1.0,15
0.9759295142495904,16,0.05574912891986063,1.0,16
0.9725834540995031,17,0.059233449477351915,1.0,17
0.9725292562105001,18,0.0627177700348432,1.0,18
0.9705520675326245,19,0.06620209059233449,1.0,19
0.9704188754986136,20,0.06968641114982578,1.0,20
0.9693188114433957,21,0.07317073170731707,1.0,21
0.9687746180264354,22,0.07665505226480836,1.0,22
0.9678905655547974,23,0.08013937282229965,1.0,23
0.9672962384897366,24,0.08362369337979095,1.0,24
0.9669851004644117,26,0.09059233449477352,1.0,26
0.9660288415004367,27,0.09407665505226481,1.0,27
0.9651507106550957,28,0.0975609756097561,1.0,28
0.9646827652075436,29,0.10104529616724739,1.0,29
0.9645950660625197,30,0.10452961672473868,1.0,30
0.9645514397957267,31,0.10801393728222997,1.0,31
0.964518664196117,32,0.11149825783972125,1.0,32
0.9627873187682932,33,0.11498257839721254,1.0,33
0.9625119755352852,34,0.11846689895470383,1.0,34
0.9606793176699698,35,0.12195121951219512,1.0,35
0.9604776223159223,36,0.1254355400696864,1.0,36
0.9596635694798521,37,0.1289198606271777,1.0,37
0.9571378328593069,38,0.13240418118466898,1.0,38
0.9563738438640041,39,0.13588850174216027,1.0,39
0.9549531883428631,40,0.13937282229965156,1.0,40
0.9547762984197308,41,0.14285714285714285,1.0,41
0.9542141297216071,42,0.14634146341463414,1.0,42
0.9522922086739208,43,0.14982578397212543,1.0,43
0.952127905582981,44,0.15331010452961671,1.0,44
0.9515092630779025,45,0.156794425087108,1.0,45
0.9512657998149093,46,0.1602787456445993,1.0,46
0.9485711220765021,47,0.16376306620209058,1.0,47
0.9472287576238578,48,0.1672473867595819,1.0,48
0.9435972233905355,49,0.17073170731707318,1.0,49
0.9391007840516432,50,0.17421602787456447,1.0,50
0.9380041226076332,51,0.17770034843205576,1.0,51
0.932885715061095,53,0.18466898954703834,1.0,53
0.931905270719356,55,0.1916376306620209,0.9818181818181818,54
0.9309215832921937,56,0.1951219512195122,0.9821428571428571,55
0.9306795722803236,57,0.1986062717770035,0.9824561403508771,56
0.928745143752802,58,0.20209059233449478,0.9827586206896551,57
0.9263333925566797,59,0.20557491289198607,0.9830508474576272,58
0.9262686741568762,60,0.20905923344947736,0.9833333333333333,59
0.9260324143208698,61,0.21254355400696864,0.9836065573770492,60
0.9259642280455919,62,0.21602787456445993,0.967741935483871,60
0.9253679067769264,63,0.21951219512195122,0.9682539682539683,61
0.9253491819182903,64,0.2229965156794425,0.96875,62
0.9251314730883586,65,0.2264808362369338,0.9692307692307692,63
0.9215090089939164,66,0.22996515679442509,0.9696969696969697,64
0.92104534064854,67,0.23344947735191637,0.9701492537313433,65
0.9163814688460894,68,0.23693379790940766,0.9705882352941176,66
0.9157949677534836,69,0.24041811846689895,0.9710144927536232,67
0.9156950394557276,70,0.24390243902439024,0.9714285714285714,68
0.9136661793792503,71,0.24738675958188153,0.971830985915493,69
0.9130854646398192,72,0.2508710801393728,0.9722222222222222,70
0.908912224361794,73,0.25435540069686413,0.9726027397260274,71
0.9074983590435355,74,0.2578397212543554,0.972972972972973,72
0.9040415725899448,75,0.2613240418118467,0.9733333333333334,73
0.903039461343937,76,0.26480836236933797,0.9605263157894737,73
0.901751007156326,77,0.2682926829268293,0.961038961038961,74
0.8913522325317575,78,0.27177700348432055,0.9615384615384616,75
0.8896302032675233,79,0.27526132404181186,0.9620253164556962,76
0.8860873001622995,80,0.2787456445993031,0.9625,77
0.8844135662082535,81,0.28222996515679444,0.9506172839506173,77
0.8804093621299552,82,0.2857142857142857,0.9512195121951219,78
0.8788162633428414,83,0.289198606271777,0.9518072289156626,79
0.8777414392185258,84,0.2926829268292683,0.9523809523809523,80
0.8763676396661552,85,0.2961672473867596,0.9529411764705882,81
0.8731418045920574,86,0.29965156794425085,0.9534883720930233,82
0.8726165994949237,87,0.30313588850174217,0.9540229885057471,83
0.8714688436777744,88,0.30662020905923343,0.9545454545454546,84
0.8680198041130223,89,0.31010452961672474,0.9550561797752809,85
0.8675874853861145,90,0.313588850174216,0.9555555555555556,86
0.8662585046598703,91,0.3170731707317073,0.945054945054945,86
0.8659408662935968,92,0.3205574912891986,0.9456521739130435,87
0.8640235092081601,93,0.3240418118466899,0.946236559139785,88
0.8638503958625103,94,0.32752613240418116,0.9468085106382979,89
0.8637402824292888,95,0.3310104529616725,0.9473684210526315,90
0.8613162626714596,96,0.3344947735191638,0.9479166666666666,91
0.8597172158906973,97,0.33797909407665505,0.9484536082474226,92
0.8594826900339885,98,0.34146341463414637,0.9387755102040817,92
0.8576009281107838,99,0.34494773519163763,0.9393939393939394,93
0.854269876633565,100,0.34843205574912894,0.94,94
0.8529399956983617,101,0.3519163763066202,0.9306930693069307,94
0.8445410210026286,102,0.3554006968641115,0.9215686274509803,94
0.8442691237494426,103,0.3588850174216028,0.9223300970873787,95
0.8424575633198117,104,0.3623693379790941,0.9134615384615384,95
0.8405711375651989,105,0.36585365853658536,0.9142857142857143,96
0.8367413032610147,106,0.3693379790940767,0.9150943396226415,97
0.8363203069467667,107,0.37282229965156793,0.9065420560747663,97
0.8343957624557105,108,0.37630662020905925,0.9074074074074074,98
0.8299594127904306,109,0.3797909407665505,0.908256880733945,99
0.8289441905815553,110,0.3832752613240418,0.9090909090909091,100
0.8205935396088611,111,0.3867595818815331,0.9009009009009009,100
0.8200079851009013,112,0.3902439024390244,0.8928571428571429,100
0.8160836113734954,113,0.39372822299651566,0.8938053097345132,101
0.8140020964631036,114,0.397212543554007,0.8947368421052632,102
0.8131255734045144,115,0.40069686411149824,0.8956521739130435,103
0.8117985211214992,116,0.40418118466898956,0.896551724137931,104
0.810693017643151,117,0.4076655052264808,0.8974358974358975,105
0.8102559620905646,118,0.41114982578397213,0.8983050847457628,106
0.8093669646621546,119,0.4146341463414634,0.8991596638655462,107
0.8092945328142624,120,0.4181184668989547,0.9,108
0.8050345035647123,121,0.42160278745644597,0.9008264462809917,109
0.8034384122525633,122,0.4250871080139373,0.9016393442622951,110
0.799936998567566,123,0.42857142857142855,0.9024390243902439,111
0.7986099418350849,124,0.43205574912891986,0.8951612903225806,111
0.7966040373238747,125,0.4355400696864111,0.888,111
0.7960178457274227,126,0.43902439024390244,0.8888888888888888,112
0.7955401993227016,127,0.4425087108013937,0.8818897637795275,112
0.7930601315683807,128,0.445993031358885,0.875,112
0.7907644465507357,129,0.44947735191637633,0.875968992248062,113
0.7902789683335323,130,0.4529616724738676,0.8769230769230769,114
0.7852982041081187,131,0.4564459930313589,0.8702290076335878,114
0.7840402524308527,132,0.45993031358885017,0.8712121212121212,115
0.7795151965967432,133,0.4634146341463415,0.8721804511278195,116
0.7746869468098303,134,0.46689895470383275,0.8731343283582089,117
0.7717181841130545,135,0.47038327526132406,0.8740740740740741,118
0.7664214989235031,136,0.4738675958188153,0.8676470588235294,118
0.7663362287958637,137,0.47735191637630664,0.8613138686131386,118
0.7662968840311406,138,0.4808362369337979,0.8623188405797102,119
0.7655441759815038,139,0.4843205574912892,0.8633093525179856,120
0.7567275551077406,140,0.4878048780487805,0.8571428571428571,120
0.752121539439033,141,0.4912891986062718,0.8581560283687943,121
0.7437555514786574,142,0.49477351916376305,0.8591549295774648,122
0.7373071353078545,143,0.49825783972125437,0.8531468531468531,122
0.7293488537892872,144,0.5017421602787456,0.8472222222222222,122
0.7281922247815253,145,0.5052264808362369,0.8482758620689655,123
0.7151386396941736,146,0.5087108013937283,0.8493150684931506,124
0.7142477959062412,148,0.5156794425087108,0.8513513513513513,126
0.7060018401709711,149,0.519163763066202,0.8456375838926175,126
0.7026205039794705,150,0.5226480836236934,0.8466666666666667,127
0.7004879477504051,151,0.5261324041811847,0.8410596026490066,127
0.7000248610941575,152,0.5296167247386759,0.8421052631578947,128
0.6968250434429868,153,0.5331010452961672,0.8366013071895425,128
0.6965062011756551,154,0.5365853658536586,0.8311688311688312,128
0.6956794214859552,155,0.5400696864111498,0.8258064516129032,128
0.6938899737292065,156,0.5435540069686411,0.8269230769230769,129
0.6932594229397042,157,0.5470383275261324,0.8280254777070064,130
0.6882252022431821,158,0.5505226480836237,0.8291139240506329,131
